Round,ID,Contribution,Total Points Sent,Cost,Punishment Received,Punishment Tax Rate,Earnings,Cumulative Earnings,Key
4,17,3,*,*.*,*,*.*,3.5,13.5,113
4,18,0,*,*.*,*,*.*,6.5,24.5,114
4,19,2,*,*.*,*,*.*,4.5,18.5,115
4,20,2,*,*.*,*,*.*,4.5,16.5,116
4,21,3,*,*.*,*,*.*,5.0,19.0,117
4,22,1,*,*.*,*,*.*,7.0,25.0,118
4,23,3,*,*.*,*,*.*,5.0,21.0,119
4,24,3,*,*.*,*,*.*,5.0,21.0,120
4,25,1,*,*.*,*,*.*,5.0,18.5,121
4,26,3,*,*.*,*,*.*,3.0,13.5,122
4,27,2,*,*.*,*,*.*,4.0,14.5,123
4,28,0,*,*.*,*,*.*,6.0,22.5,124
4,29,0,*,*.*,*,*.*,5.5,22.0,125
4,30,1,*,*.*,*,*.*,4.5,21.0,126
4,31,3,*,*.*,*,*.*,2.5,15.0,127
4,32,1,*,*.*,*,*.*,4.5,20.0,128
5,1,2,*,*.*,*,*.*,4.0,21.5,129
5,2,3,*,*.*,*,*.*,3.0,18.5,130
5,3,0,*,*.*,*,*.*,6.0,27.5,131
5,4,1,*,*.*,*,*.*,5.0,25.5,132
5,5,1,*,*.*,*,*.*,5.0,23.5,133
5,6,3,*,*.*,*,*.*,3.0,15.5,134
5,7,0,*,*.*,*,*.*,6.0,28.5,135
5,8,2,*,*.*,*,*.*,4.0,19.5,136
5,9,1,*,*.*,*,*.*,6.5,31.0,137
5,10,2,*,*.*,*,*.*,5.5,26.0,138
5,11,3,*,*.*,*,*.*,4.5,24.0,139
5,12,3,*,*.*,*,*.*,4.5,27.0,140
5,13,0,*,*.*,*,*.*,4.5,21.5,141
5,14,0,*,*.*,*,*.*,4.5,23.5,142
5,15,2,*,*.*,*,*.*,2.5,19.5,143
5,16,1,*,*.*,*,*.*,3.5,22.5,144
5,17,3,*,*.*,*,*.*,3.5,17.0,145
5,18,0,*,*.*,*,*.*,6.5,31.0,146
5,19,2,*,*.*,*,*.*,4.5,23.0,147
5,20,2,*,*.*,*,*.*,4.5,21.0,148
5,21,3,*,*.*,*,*.*,5.0,24.0,149
5,22,1,*,*.*,*,*.*,7.0,32.0,150
5,23,3,*,*.*,*,*.*,5.0,26.0,151
5,24,3,*,*.*,*,*.*,5.0,26.0,152
5,25,1,*,*.*,*,*.*,4.0,22.5,153
5,26,1,*,*.*,*,*.*,4.0,17.5,154
5,27,2,*,*.*,*,*.*,3.0,17.5,155
5,28,0,*,*.*,*,*.*,5.0,27.5,156
5,29,1,*,*.*,*,*.*,4.0,26.0,157
5,30,2,*,*.*,*,*.*,3.0,24.0,158
5,31,0,*,*.*,*,*.*,5.0,20.0,159
5,32,1,*,*.*,*,*.*,4.0,24.0,160
6,1,2,4,0.8,0,0,3.7,25.2,161
6,2,3,4,0.8,0,0,2.7,21.2,162
6,3,1,0,0,4,0.4,3.3,30.8,163
6,4,1,0,0,4,0.4,3.3,28.8,164
6,5,1,0,0,3,0.3,3.85,27.35,165
6,6,2,5,1,0,0,3.5,19.0,166
6,7,2,2,0.4,2,0.2,3.28,31.78,167
6,8,2,0,0,2,0.2,3.6,23.1,168
6,9,2,0,0,6,0.6,2.6,33.6,169
6,10,3,0,0,0,0,5.5,31.5,170
6,11,3,5,1,0,0,4.5,28.5,171
6,12,3,1,0.2,0,0,5.3,32.3,172
6,13,2,7,1.4,2,0.2,3.28,24.78,173
6,14,3,0,0,3,0.3,3.15,26.65,174
6,15,1,6,1.2,7,0.7,1.59,21.09,175
6,16,3,0,0,1,0.1,4.05,26.55,176
6,17,2,7,1.4,1,0.1,2.34,19.34,177
6,18,0,0,0,9,0.9,0.6,31.6,178
6,19,2,3,0.6,2,0.2,2.72,25.72,179
6,20,2,3,0.6,1,0.1,3.06,24.06,180
6,21,3,10,2,2,0.2,1.2,25.2,181
6,22,1,3,0.6,6,0.6,1.96,33.96,182
6,23,2,2,0.4,1,0.1,3.69,29.69,183
6,24,1,0,0,6,0.6,2.2,28.2,184
6,25,1,0,0,3,0.3,3.5,26.0,185
6,26,1,1,0.2,4,0.4,2.88,20.38,186
6,27,3,6,1.2,2,0.2,1.44,18.94,187
6,28,1,4,0.8,2,0.2,3.36,30.86,188
6,29,2,10,2,3,0.3,1.75,27.75,189
6,30,1,9,1.8,7,0.7,1.11,25.11,190
6,31,3,0,0,4,0.4,2.1,22.1,191
6,32,1,3,0.6,8,0.8,0.98,24.98,192
7,1,2,6,1.2,1,0.1,3.42,28.62,193
7,2,3,0,0,1,0.1,3.6,24.8,194
7,3,0,3,0.6,9,0.9,0.64,31.44,195
7,4,3,3,0.6,1,0.1,3.06,31.86,196
7,5,2,0,0,0,0,5.5,32.85,197
7,6,2,0,0,0,0,5.5,24.5,198
7,7,3,0,0,0,0,4.5,36.28,199
7,8,2,0,0,0,0,5.5,28.6,200
7,9,3,3,0.6,0,0,5.4,39.0,201
7,10,3,0,0,1,0.1,5.4,36.9,202
7,11,3,0,0,1,0.1,5.4,33.9,203
7,12,3,0,0,1,0.1,5.4,37.7,204
7,13,3,8,1.6,1,0.1,2.16,26.94,205
7,14,3,0,0,1,0.1,3.6,30.25,206
7,15,2,3,0.6,2,0.2,3.52,24.61,207
7,16,0,0,0,7,0.7,2.1,28.65,208
7,17,3,4,0.8,1,0.1,3.78,23.12,209
7,18,3,10,2,1,0.1,2.7,34.3,210
7,19,2,0,0,12,1,0.0,25.72,211
7,20,2,7,1.4,7,0.7,1.38,25.44,212
7,21,3,5,1,3,0.3,3.15,28.35,213
7,22,2,6,1.2,7,0.7,1.59,35.55,214
7,23,3,2,0.4,2,0.2,4.08,33.77,215
7,24,3,0,0,1,0.1,4.95,33.15,216
7,25,2,3,0.6,4,0.4,1.44,27.44,217
7,26,1,3,0.6,2,0.2,2.72,23.1,218
7,27,1,4,0.8,3,0.3,2.24,21.18,219
7,28,0,4,0.8,5,0.5,2.1,32.96,220
7,29,2,0,0,5,0.5,2.25,30.0,221
7,30,2,8,1.6,3,0.3,2.03,27.14,222
7,31,1,0,0,6,0.6,2.2,24.3,223
7,32,2,10,2,4,0.4,1.5,26.48,224
8,1,3,4,0.8,0,0,3.7,32.32,225
8,2,3,0,0,0,0,4.5,29.3,226
8,3,0,0,0,8,0.8,1.5,32.94,227
8,4,3,4,0.8,0,0,3.7,35.56,228
8,5,2,1,0.2,0,0,4.3,37.15,229
8,6,2,0,0,0,0,4.5,29.0,230
8,7,2,1,0.2,0,0,4.3,40.58,231
8,8,1,0,0,2,0.2,4.4,33.0,232
8,9,3,0,0,0,0,6.0,45.0,233
8,10,3,0,0,0,0,6.0,42.9,234
8,11,3,0,0,0,0,6.0,39.9,235
8,12,3,0,0,0,0,6.0,43.7,236
8,13,3,3,0.6,1,0.1,3.06,30.0,237
8,14,0,10,2,3,0.3,3.5,33.75,238
8,15,3,1,0.2,0,0,3.8,28.41,239
8,16,2,1,0.2,11,1,0.0,28.65,240
8,17,3,7,1.4,3,0.3,2.17,25.29,241
8,18,3,10,2,3,0.3,1.75,36.05,242
8,19,3,3,0.6,4,0.4,2.34,28.06,243
8,20,0,10,2,20,1,0.0,25.44,244
8,21,3,10,2,3,0.3,2.45,30.8,245
8,22,2,9,1.8,12,1,0.0,35.55,246
8,23,3,4,0.8,3,0.3,3.29,37.06,247
8,24,3,0,0,5,0.5,2.75,35.9,248
8,25,2,4,0.8,3,0.3,1.54,28.98,249
8,26,2,1,0.2,2,0.2,2.24,25.34,250
8,27,0,0,0,2,0.2,4.0,25.18,251
8,28,0,4,0.8,2,0.2,3.36,36.32,252
8,29,2,4,0.8,5,0.5,2.1,32.1,253
8,30,1,8,1.6,18,1,0.0,27.14,254
